fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,station_id,distance_from_station,station_name
4c2a802b8abca5938bc6fe1f,Forty Thieves Cafe,13065,,,43.257429,-79.925052,1481 Main St W,L8S 1E1,0263c2af4dcdc215b9c81753a8df8a9a,416,MAC Rack ITB
4d25eafd5cc1a093705897be,Bridges Cafe,13065,,,43.262922,-79.921304,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,419,MAC Rack ITB
598cf2b4dd84420428e79a62,Yummy Greek,13065,,,43.257422,-79.925144,1481 Main St W,L8S 1E1,0263c2af4dcdc215b9c81753a8df8a9a,423,MAC Rack ITB
4d71926ff4e26a31db6627aa,Needa Pita,13065,,,43.262837,-79.922403,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,434,MAC Rack ITB
6148b9d585ed2f472ca93036,Tahinis Restaurant,13065,,,43.257711,-79.925749,1554 Main St W,L8S 1E5,0263c2af4dcdc215b9c81753a8df8a9a,454,MAC Rack ITB
a82a13ece028449a90353506,Tim Hortons,13065,,,43.257711,-79.925749,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,454,MAC Rack ITB
2701ba0c78c5464c76e09f84,Maccheroni Cucina Alfresco,13065,,,43.257727,-79.926262,1560 Main St W,L8S 1E7,0263c2af4dcdc215b9c81753a8df8a9a,493,MAC Rack ITB
5d8bb9847a801a0008b381d1,Teriyaki Experience,13065,,,43.263338,-79.917387,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,512,MAC Rack ITB
4d8d6ad95091a1cd636c7801,South China Chinese Food,13065,,,43.257693,-79.914432,1223 Main St W (Stroud Road),L8S 1C3,0263c2af4dcdc215b9c81753a8df8a9a,518,MAC Rack ITB
4f3dcca5e4b01fd85845eaf1,Emerson 109,13065,,,43.25446,-79.92079,109 Emerson St (at Ward Ave),L8S 2X5,0263c2af4dcdc215b9c81753a8df8a9a,524,MAC Rack ITB
a7654ed5eb7f4c06f30f6710,Mr Gao China Restaurant,13065,,,43.257348,-79.927542,1561 Main St W,L8S 1E6,0263c2af4dcdc215b9c81753a8df8a9a,604,MAC Rack ITB
50a9a020e4b04d899541e8c8,Mr. Gao's Chinese Restaurant and Bubble Tea,13065,,,43.257224,-79.927706,1564 Main St W (Main Street And Binkley Crescent),L8S 1E6,0263c2af4dcdc215b9c81753a8df8a9a,622,MAC Rack ITB
4b70571ff964a520e1132de3,Mr. Sub,13065,,,43.258178,-79.911779,1144 Main St W,L8S 1C1,0263c2af4dcdc215b9c81753a8df8a9a,714,MAC Rack ITB
514e7bf0e4b01b9f1637f282,Rotana Resto-Bar,13065,,,43.258228,-79.911138,1122 Main St W (Haddon),L8S 1C1,0263c2af4dcdc215b9c81753a8df8a9a,765,MAC Rack ITB
56a3bcc1498e42e6063c14ff,Caribbean Flavah,13065,,,43.258345,-79.911065,1122 Main St W (Cline Avenue South),L8S 1C1,0263c2af4dcdc215b9c81753a8df8a9a,769,MAC Rack ITB
5706619e498e68410c5b2b56,Porcelain Hotpot & Lounge,13065,,,43.258235,-79.911047,1122 Main St W,L8S 1C1,0263c2af4dcdc215b9c81753a8df8a9a,772,MAC Rack ITB
53821b62498e7fa5d0233ab9,Phở Excellent,13065,,,43.258242,-79.910955,1120 Main St W,L8S 1C1,0263c2af4dcdc215b9c81753a8df8a9a,779,MAC Rack ITB
d07f2da3c1284d1155383b24,Tim Hortons,13065,,,43.257261,-79.922891,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,287,MAC Rack ITB
cdfbef7cb6c94aa81a06b47a,Taro at MAC,13065,,,43.258209,-79.917163,1280 Main St W,L8S 4S4,0263c2af4dcdc215b9c81753a8df8a9a,290,MAC Rack ITB
4291ce75d76221a031365ae7,Paramount Fine Foods,13065,,,43.262244,-79.920286,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,341,MAC Rack ITB
6d15bf44673648447cc800a8,The Chopped Leaf,13065,,,43.262272,-79.920312,1280 Main St E,L8K 1A9,0263c2af4dcdc215b9c81753a8df8a9a,344,MAC Rack ITB
