yelp_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,fsq_id,poi_id,poi_category
bpK_qHqxIuv9UXyXUOijBg,Germania Restaurant,restaurants,0.0,0,43.25192,-79.84015,863 King Street E,L8M 1B5,,CD4115,restaurants
1SN-kibIZ0aRfkgwN9yYYQ,Get Baked Sweet Bar,restaurants,0.0,0,43.2593233,-79.8425188,286 Sanford Avenue N Westinghouse HQ,L8L 6A1,,QK0231,restaurants
skB2XhsDfWsA8nX2UkLFXg,Gina's Place,restaurants,4.0,1,43.23816,-79.84224,798 Concession Street,L8V 1C9,,QX7848,restaurants
7S8r20UQ8LjlduL3ltpFUA,Gino's Pizza,restaurants,2.3,3,43.2507,-79.81404,1142 Barton Street E,L8H 2V1,,RX8918,restaurants
7B1LXxQOIGTV0asdRxq3DQ,Gino's Pizza,restaurants,2.6,15,43.2572669660159,-79.9183147388152,1309 Main Street W,L8S 1C5,,EF4485,restaurants
Y2Lpae3Bqe41huly2Y2O7g,Gino's Pizza,restaurants,1.0,1,43.23365,-79.90982,640 Mohawk Road W,L9C 1X6,,ZG2319,restaurants
jbV15x2d_sVm_eH2XaULlw,Giuseppe's Italian Cuisine & Pizza,restaurants,4.1,7,43.2513402662521,-79.8446745425463,762 King Street E,L8M 1A6,,RK0729,restaurants
YBi5k9aeRpi8PczZd3VazA,Glow Juicery,restaurants,4.3,3,43.25521,-79.88558,35 Pine Street,L8P 2A2,,UT5038,restaurants
8Dqa5PrU6VQBOAXFu9TK8w,Golden Dragon Restaurant,restaurants,0.0,0,43.25842,-79.84253,539 Barton Street E,L8L 2Y9,,EZ0986,restaurants
-QNX5oGOAJqvr6PahAp6bg,Golden Tenders,restaurants,4.5,4,43.247855,-79.829075,1150 King Street E,L8M 1E8,,PZ3687,restaurants
Lz_vaZVqqw0M-zTZ8H9fDA,Grab and go Indian kitchen,restaurants,0.0,0,43.25598,-79.85783,90 Wellington Street N Unit 107,L8R 1N1,,XF7156,restaurants
nhf8PO63THI8l2Cbkb9HCA,Grand Leisure  KTV Restaurant,restaurants,3.0,1,43.25442,-79.85994,16 Jarvis Street,L8R 1M2,,NE1951,restaurants
bESbT6NPZyDfSfSlsPA5Kw,Granny's Place,restaurants,2.0,2,43.26243,-79.8659,11 Robert Street,L8L 2N8,,RO1676,restaurants
yxD4xIp0PIeijk3rnPTADg,Great Wall Restaurant,restaurants,2.9,9,43.24604,-79.80721,190 Kenilworth Avenue N,L8H 4S2,,EL9078,restaurants
Q3urZhGC4If6AGEhzDVqnQ,Green Bar,restaurants,4.6,20,43.2627485834705,-79.8662985122842,236 James Street N,L8R 2L2,,BL8760,restaurants
BvurlmNk_KOHhPwC7gxXrQ,Greenhouse Cafe,restaurants,2.0,8,43.290132294944335,-79.87607314431794,680 Plains Road W Royal Botanical Gardens Burlington ON,L7T 4H4,,JM1911,restaurants
