fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,yelp_id,poi_id,poi_category
5ccb43e004d1ae002c093e13,DoughBox Wood Fired Pizza & Pasta,13065,,,43.257484,-79.923624,1457 Main St. W. (Norfolk St. S.),L8S 1C9,,LV8429,restaurants
6129361aa0fd8419fff8e49f,Down the Street Food Co,13065,,,43.248319,-79.817572,205 Ottawa St N (Britannia Ave),L8H 3Z4,,DY9004,restaurants
4daa2bd793a04642f07a1c2b,Dragon Court Restaurant,13065,,,43.262594,-79.9046,988 King St W,L8S 1L1,,HQ0008,restaurants
4ae0bf6e0717476646c0b41b,Duke's Pub Pasta & Pizzeria,13065,,,43.261057,-79.852728,303 Barton St E,L8L 2X4,,KG2068,restaurants
4bfc180fda7120a1cc8f49fd,Dunas Verdes Cafe Inc,13065,,,43.263017,-79.866507,253 James St N,L8R 2L2,,UR4685,restaurants
31e5f5bd82eb48e84d94c849,Dundas Historical Society Museum,10027,,,43.268132,-79.959389,139 Park St W Dundas ON,L9H 1X8,,WC5091,museums
4f845cdbe4b08b03b0864a99,Dundas Museum & Archives,10027,,,43.268294,-79.959463,139 Park St W Dundas ON,L9H 1X8,,HG9637,museums
5a88ed06bd40091eb2c79e91,Dundas Shawarma,13065,,,43.26556,-79.952177,24 King St E Dundas ON,L9H 1B8,,VL0699,restaurants
4b867b25f964a520fc8b31e3,Dundurn Castle,10027,,,43.26944,-79.88468,610 York Blvd,L8R 3H1,,YQ9246,museums
559a95b2498e20cc6dfecb89,Dundurn Market,13065,,,43.251301,-79.892945,346 Dundurn St S (Aberdeen Avenue),L8P 4L6,,HS1044,restaurants
44d812a3ded1455c046957d0,E23,13065,,,43.240516,-79.850745,590 Concession St,,,BK4348,restaurants
5183f743e4b0f34b0dd360cb,Earth Shake,13065,,,43.266789,-79.957953,103 King St E Dundas ON,L9H 1B9,,GQ4051,restaurants
4c6da40ea437224b65aa2db1,Earth to Table Bread Bar,13065,,,43.252827,-79.886945,258 Locke St S (Herkimer St.),L8P 4B9,,GM5550,restaurants
5d09774d7b0b520023ff166e,Earth to Table: Bread Bar James,13065,,,43.257056,-79.868374,14 James St N (King St),L8R 2J9,,QT3147,restaurants
4bb37ca2715eef3b036386bb,East Side Mario's,13065,,,43.259802,-79.84723,Queenston Rd (Greenford Dr.),,,OY6977,restaurants
4bc8db1268f976b020215c83,East Side Mario's Dundas,13065,,,43.258387,-79.941538,119 Osler Dr Dundas ON,L9H 6X4,,SW6360,restaurants
5688080b498ef6dccacdba77,Eat Industries,13065,,,43.258975,-79.870321,55 York Blvd,L8R 3K1,,CL9338,restaurants
4b7f7489f964a5207e2f30e3,Eat a Pita,13065,,,43.240199,-79.810415,15 Tuxedo Ave S,L8K 2R7,,MF8624,restaurants
5ab4ee917918711d1be64252,Emerald Coffee Co,13065,,,43.260331,-79.851261,340 Barton St E (Emerald),L8L 2X7,,FS3490,restaurants
4f3dcca5e4b01fd85845eaf1,Emerson 109,13065,,,43.25446,-79.92079,109 Emerson St (at Ward Ave),L8S 2X5,,YW7188,restaurants
4bd22ccecaff95217c44d2f0,Emilio's,13065,,,43.266857,-79.958521,117 King St E (btw Albert St & Sydenham St) Dundas ON,L8N 1A9,,OS8127,restaurants
4c030b8739d476b080a02fa7,Empress Wok Chinese Restaurant,13065,,,43.257618,-79.942798,101 Osler Dr Dundas ON,L9H 4H4,,DO6800,restaurants
4ba42910f964a520bc8738e3,End Zone Bar and Grill,13065,,,43.230836,-79.807083,1900 King St E (King and Rosedale),L8K 1W1,,SR9902,restaurants
21f1570f17664fd780833d96,Enercare Connections Inc,13065,,,43.251518,-79.875643,85 Robinson St,L8P 0B9,,CT5135,restaurants
4ed82c3246907c1b3ff8dbc1,Eng's Chinese Restaurant,13065,,,43.240345,-79.850067,606 Concession St (between 23rd & 24th st),L8V 1B3,,IC2798,restaurants
44034f5c15b84d8f7aeedd61,Escape Manor Hamilton,13065,,,43.255952,-79.866008,103 King St E,L8N 1A9,,WB3313,restaurants
593444759ec39910e490baa7,Esplanada Cafe Restaurant,13065,,,43.259677,-79.847395,419 Barton St E,L8L 2Y5,,EE7588,restaurants
4ba50b2ef964a520d5d438e3,Espresso Cafe,13065,,,43.266465,-79.957805,102 King St W Dundas ON,L9H 1T9,,NH7710,restaurants
a5f213897c1f4e87862e954c,Evia's Fast Food,13065,,,43.248746,-79.829511,1127 King St E,L8M 1E5,,LC2392,restaurants
34d7109889944d26127a03a0,Express Pizza,13065,,,43.241029,-79.811991,1357 Main St E,L8K 1B6,,LN0613,restaurants
9c1c518912434dc3174f26c5,Famous Recipe Chicken & Grill,13065,,,43.252714,-79.85285,535 King St E,,,CY1490,restaurants
62279153676d027d888c9c70,Fat Bastard Burrito Co,13065,,,43.257428,-79.94309,101 Osler Dr Dundas ON,L9H 4H4,,OL0096,restaurants
6440d4ee8b2c160224c97c07,Fat Bastard Burrito Co,13065,,,43.2423,-79.855913,447 Concession St,L9A 1C1,,CY8134,restaurants
61abc245a6ae37435d224290,Festival Foods,13065,,,43.250539,-79.833105,1013 King St E (Spadina),L8M 1C9,,GI6921,restaurants
4eb315409a52547686855c0f,Finger's Bar & Grill,13065,,,43.255691,-79.867215,62 King St E,L8N 1A6,,GQ5130,restaurants
